ROLE: STUDENT         | NAME: N/A                                 | EMAIL: mlikhith6@gmail.com                           | PASSWORD: password123 (Reset)
ROLE: HOD             | NAME: SLDC HOD                            | EMAIL: hod.sldc@transco.com                          | PASSWORD: password123
ROLE: MENTOR          | NAME: SLDC Mentor                         | EMAIL: mentor.sldc@transco.com                       | PASSWORD: password123
ROLE: HOD             | NAME: PROJECTS HOD                        | EMAIL: hod.projects@transco.com                      | PASSWORD: password123
ROLE: MENTOR          | NAME: PROJECTS Mentor                     | EMAIL: mentor.projects@transco.com                   | PASSWORD: password123
ROLE: HOD             | NAME: APPCC AND LEGAL HOD                 | EMAIL: hod.appcc.and.legal@transco.com               | PASSWORD: password123
ROLE: MENTOR          | NAME: APPCC AND LEGAL Mentor              | EMAIL: mentor.appcc.and.legal@transco.com            | PASSWORD: password123
ROLE: HOD             | NAME: COMMERCIAL AND COORDINATION LMC HOD | EMAIL: hod.commercial.and.coordination.lmc@transco.com | PASSWORD: password123
ROLE: MENTOR          | NAME: COMMERCIAL AND COORDINATION LMC Mentor | EMAIL: mentor.commercial.and.coordination.lmc@transco.com | PASSWORD: password123
ROLE: HOD             | NAME: HRD HOD                             | EMAIL: hod.hrd@transco.com                           | PASSWORD: password123
ROLE: MENTOR          | NAME: HRD Mentor                          | EMAIL: mentor.hrd@transco.com                        | PASSWORD: password123
ROLE: HOD             | NAME: ZONE VIJAYAWADA HOD                 | EMAIL: hod.zone.vijayawada@transco.com               | PASSWORD: password123
ROLE: MENTOR          | NAME: ZONE VIJAYAWADA Mentor              | EMAIL: mentor.zone.vijayawada@transco.com            | PASSWORD: password123
ROLE: HOD             | NAME: ZONE VISHAKAPATNAM HOD              | EMAIL: hod.zone.vishakapatnam@transco.com            | PASSWORD: password123
ROLE: MENTOR          | NAME: ZONE VISHAKAPATNAM Mentor           | EMAIL: mentor.zone.vishakapatnam@transco.com         | PASSWORD: password123
ROLE: HOD             | NAME: APPCC HOD                           | EMAIL: hod.appcc@transco.com                         | PASSWORD: password123
ROLE: MENTOR          | NAME: APPCC Mentor                        | EMAIL: mentor.appcc@transco.com                      | PASSWORD: password123
ROLE: HOD             | NAME: ZONE KADAPA HOD                     | EMAIL: hod.zone.kadapa@transco.com                   | PASSWORD: password123
ROLE: MENTOR          | NAME: ZONE KADAPA Mentor                  | EMAIL: mentor.zone.kadapa@transco.com                | PASSWORD: password123
ROLE: HOD             | NAME: CIVIL HOD                           | EMAIL: hod.civil@transco.com                         | PASSWORD: password123
ROLE: MENTOR          | NAME: CIVIL Mentor                        | EMAIL: mentor.civil@transco.com                      | PASSWORD: password123
ROLE: HOD             | NAME: TELECOM AND IT HOD                  | EMAIL: hod.telecom.and.it@transco.com                | PASSWORD: password123
ROLE: MENTOR          | NAME: TELECOM AND IT Mentor               | EMAIL: mentor.telecom.and.it@transco.com             | PASSWORD: password123
ROLE: HOD             | NAME: ADDITIONAL SECRETARY HOD            | EMAIL: hod.additional.secretary@transco.com          | PASSWORD: password123
ROLE: MENTOR          | NAME: ADDITIONAL SECRETARY Mentor         | EMAIL: mentor.additional.secretary@transco.com       | PASSWORD: password123
ROLE: HOD             | NAME: CGM AND FINANCE HOD                 | EMAIL: hod.cgm.and.finance@transco.com               | PASSWORD: password123
ROLE: MENTOR          | NAME: CGM AND FINANCE Mentor              | EMAIL: mentor.cgm.and.finance@transco.com            | PASSWORD: password123
ROLE: ADMIN           | NAME: System Administrator                | EMAIL: admin@transco.com                             | PASSWORD: password123
